Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
e dìl e nihü he nò i me l' ròbå —	e non dire niente a nessuno altrimenti ce la rubano —
e lé 'stå fómnå pòtå	la donna
l'érå mìå tàt cunvìntå ma però...	non era del tutto convinta, ma...
dòpo l'è sta' 'm pó amò quàch dé po'	s'è fermato a casa qualche giorno, poi
l'à dìt: — öi 'ndà hö e ède he 'l gh'à amò	ha detto: — voglio andare a vedere se ha ancora
ergót de dàm chèl sö lé! —	qualcosa da darmi quello lassù!
e 'l pàhå hö	si arrampica
e 'l và amò e fà l'istèhå stórgiå	va alla casa e ancora la stessa storia
con de 'stå fómnå lé 'sta óltå l'éra ustinàdà	con la sorella del mago, lei stavolta era ostinata
la uléå mìå fàl endà de déter	non voleva farlo entrare
'nfati	infatti
l'à dìt: — gh'ó dàt de mangià e giü	ha detto: — ho dato da mangiare a uno
l'à purtàt già i hólc	ha rubato i soldi
'n n'è 'gnìt ün óter	ne è venuto un altro
'l m'à purtàt già la galìnå che fà i öf d'ór	ha rubato la gallina che fa le uova d'oro
— l'à dìt — el màncå che 'l végne	manca solo che venga
amò l'órco	l'orco
e héte amò chèl udùr	e senta ancora quell'odore
— l'à dìt — che 'l me màiå pò a' mé	così mangia anche me
mìå dòmå lü	non solamente te
nò nò	no no
förå di pé! —	fuori dai piedi! —
gliùrå lü l'à hàc parì de burlà jó	allora lui ha fatto finta di cadere
śvegnìt	svenuto
per la fàm	dalla fame
'lurà lé pòtå	così a lei
al gh'érå rincrehìt	è rincresciuto
la l'à menàt de déter	l'ha portato dentro
la gh'à fàt la camamèlå e	gli ha fatto la camomilla e
tüc i hò laùr	tutto il necessario
pò la gh'à dàt sà a'	poi gli ha dato anche
ü piàt de rìs	un piatto di riso
de mangià	da mangiare
l'ìa pò üsto finìt de mangià	aveva appena finito di mangiare
e lü 'sto tuśi 'l cumincià-å e pensà mài	e pensava che l'orco non venisse
menemà 'nvéce l'è hà l'órco	invece d'un tratto compare
e 'l dìs: — 'esta óltå te me l' fé mìå	e dice alla sorella:
— 'l gh'à dìt ala hò horèlå —	— questa volta non me la fai
e fó haltà tüt —	butto per aria tutto —
e lü l'éra 'ndàt e scóndes fò	Giacomino era andato a nascondersi
hótå la credénså	sotto la credenza
lü 'l fà pahà	l'orco comincia a rovistare
'l fà haltà 'l furen	butta per aria il forno
'l fà haltà pignate	le pignatte
'l fà haltà de tüt	mette tutto sottosopra
e lü 'l cumincià-å e 'gnì 'n fastide	e il ragazzo cominciava a preoccuparsi
hótå chèla credénså:	sotto quella credenza
« èt che 'sta óltå 'l se h'è pròpe 'nviperìt	« vuoi vedere che questa volta si è proprio inviperito?
t'ederé che	vedrai che
ål se làgå mìå convince de mangià... »	non si lascia convincere a mangiare... »
'nvéce dòpo la gh'à portàt lé de mangià	invece la sorella gli ha portato la cena
la gh'éå pò fàt ü pursèl	gli aveva cucinato un maiale
e gliùrå 'l s'è hentàt gió e l'à mangiàt	l'orco si è seduto e ha mangiato
dòpo	dopo
ål ghe dìs:	le dice:
— adès pórtem la mé chitàrå —	— adesso portami la chitarra! —
e gliò l' gh'à purtàt la chitàrå	lei gli ha messo la chitarra
'l l'à pustàdå hùrå 'l tàol	sul tavolo
e 'l gh'à dìt:	e l'orco ha gridato:
— hùnå! —	— suona! —
lé la h'è metìdå dré a hunà de per lé	quella si è messa a suonare da sola
ma la hunà-å bé	ma in modo tanto bello
e l'à dìt:	che Giacomino ha pensato:
« ol me mancà-å pròpe chèlå!	« mi manca solo quella!
— l'à dìt 'esto tùs —	— ha detto questo ragazzo —
adès de mangià	da mangiare
'm gh'à de mangià fìn che...	ne abbiamo finché vogliamo
'ssé cóla mé chitàrå pöde girà e fà di-ertì tüc	e con la chitarra potrei girare a far divertire tutti
éh apéna ca l'è dormét... »	vedrai che appena si addormenta.. »
pòtå 'l s'è dormentàt l'órco	l'orco si è addormentato
lü 'l vé fò de 'dóe l'èra scundìt	Giacomino esce dal suo nascondiglio
ål và fò, 'l ciàpå la chitàrå	prende la chitarra
la chitàrå la ś' mèt dré:	ma quella si mette a gridare:
— padróne, padróne! —	— padrone, padrone! —
pòta l'órco 'l s'è dehedàt fò	l'orco s'è svegliato
'l vèt 'esto tùs:	ha visto il ragazzo:
— ah — l'à dìt —	— ah — ha detto —
adès te ciàpe, te èdet! —	— adesso ti prendo, vedrai! —
ma lü 'l l'à mìå mulàdå la chitàrå	ma Giacomino non ha mollato la chitarra
e vìo de cure	via di corsa!
e l'órco cùregà dré	e l'orco dietro
e lü l'è ri-àt e ri-à	il ragazzo è riuscito ad arrivare
gió 'n cà	a casa
e 'l ghe dìh ala hò màmà:	e ha detto alla mamma:
— dàm la pudètå!	— dammi la roncola!
dàm la pudètå!	dammi la roncola!
— öt pò fàn de chè?	— cosa vuoi farne?
— dàm la pudètå de lénå! —	— svelta, dammi la roncola! —
'l s'è metìt dré	si è messo
e pestà jó tüte li piànte di faśöi	a tagliare tutte le piante di fagioli
'n mòdo che l'órco	cosicché l'orco
l'è burlàt gió e	è caduto
l'à picàt ol có cùntrå üna cornå	ha picchiato la testa contro una roccia
e l'è mórt	ed è morto
essè lü dòpo l'à fàt	da allora Giacomino ha fatto
vìtå beàtå però	vita beata
l'à fàt aśili	ha costruito asili
al fà-å di-ertì i picinì	allietava tutti i bambini
ma l'à mài dìt e nigü	ma non ha mai detto a nessuno
cóma l'éå fàt e di-entà s-ciòr	come aveva fatto a diventare ricco
Gh'érå üna óltå üna màmå	C'era una volta una mamma
e l'éra éduvå	era vedova
la gh'éå trèi tuśe	aveva tre figlie
ma l'èrå poarìnå	ma era povera
ö dé la héå mìa che fà de mangià	un giorno non sapeva cosa fare da mangiare
e la ghe dìh ela prìmå:	e dice alla prima:
— Erminia, 'à jó l'órt	— Erminia, vai nell'orto
che 'l gh'è jó ü bèl gabüs de érśe	c'è un bel cavolo
e pórtemlo e cà che 'm gi a fà cöśe perchè	portamelo a casa che lo facciamo cuocere
gh'ó ni-ént d'alter de fà de mangià —	perché non ho nient'altro per fare da mangiare —
pòtå 'sta tùśå la 'à jó	la ragazza va
la tìrå, la tìrå, ma la ghe rìa mìa e strapàl	tira e tira, ma non riesce a strapparlo
gliùrå la 'à hö, la ghe dìh eia màmå:	allora torna su e dice alla mamma:
— ma mé ghe rìe mìa — l'à dìt —	— non riesco
e strapàl sö	a strapparlo
— 'a caru té	— cara te
che te àlet pròpe ni-ént!	non vali proprio niente!
e gliùrå l'à ciamàt la hegóndå	ha chiamato la seconda
pòtå pà a' la hegóndå l'è stàdå istès	ma anche con lei è successo la stessa cosa
la gh'è mài ri-àdå	non è mai riuscita
e strapà 'sto gabüs	a strappare il cavolo
e chèla pihènå l'à dìt: — endaró mé — l'à dìt — che edarì che mé ghe ri-eró —	allora quella piccola ha detto: — andrò io, vedrete che io riuscirò —
'ta la 'à jó	va
pòtå i éå pò tiràt em pó la prìmå, 'm pó la hegóndå, 'l gabüs l'è 'gnìt sö	un po' aveva tirato la prima, un po' la seconda, così il cavolo è uscito
ma lé dù-e 'l gh'érå li raìs	ma dove c'erano le radici
ål gh'érå śgió ü büs	s'era aperto un buco
fónt	profondo
fónt	profondo
e gliùrå 'stå tuśìnå	allora la bambina
la ghe dìh eli hòi hurèle: — diśégå ni-ént ela màmå	ha detto alle sorelle: — non dite niente alla mamma
che 'ntàt che la fà de diśnà... —	che mentre lei fa da mangiare...
prìmå i gh'à purtàt ol gabüh ela màmå	prima han portato il cavolo alla mamma
dòpo la h'è fàdå ligà	poi la bambina si è fatta legare
hótå i bràsc	sotto le braccia
üna córdå	una corda
e l'à töt sö ü campanilì	e ha preso un campanello
l'à dìt: — óter me laghé jó	dicendo: — voi calatemi
dré el büs	giù per il buco
fìn che ve hune mé 'l campanèl e gliùrå me tiraré hö, 'chè mé — l'à dìt —	finché io suonerò il campanello, allora mi tirerete su, perché
öe 'ndà jó e ède chèl che gh'è śgió —	voglio andare a vedere cosa c'è laggiù —
pòtå 'sti dói hurèle lé i l'à ligàdå e lé śgió	così le due sorelle l'hanno legata e lei giù
śgió e śgió e śgió	e giù
e l'e ri-àdå jó 'n fónt e 'sto büs, l'à ist üna bèlå pianüra, piènå de piànte de früc	è arrivata in fondo al buco, ha visto una bella pianura con tanti alberi da frutto
e 'n fónt ål gh'érà ü bèl castèl	in fondo c'era un bel castello
de cristàl	di cristallo
lé la he gh'è piö 'gnit en mént li horèle	lei non si è più ricordata delle sorelle
l'à lagàt lé 'l campanilì, la h'è deśligàdå fò la córdå	ha lasciato il campanello, si è slegata la corda
e pò l'è 'ndàdå e ède	e poi è andata a vedere
l'è 'ndàdå déter en de 'sto castèl	è entrata nel castello
e	e
ål gh'éra déter nigü	non c'era nessuno
l'à ìst nigü lé	non ha visto nessuno
gh'érå preparat de mangià	era pronto il pranzo
ål gh'érå déter li càmere, 'l gh'érå	c'erano le camere, era
üna meravìgliå	una meraviglia
e lé la dìh: « haralå pò de chi 'stå cà ché? »	lei si è detta: « di chi sarà questa casa? »
l'à śgiràt bé, dòpo 'l gh'è 'gnìt en mént li horèle	l'ha visitata per bene, poi si è ricordata delle sorelle
l'è 'ndàdå fò ma 'l gh'érå fò piö gna' la córdå	è andata là, ma non c'erano più né corda
gna' 'l campanèl	né campanello
« eéh óter — l'à dìt —	« eh altro — ha detto —
adèh ål vurà 'gnì chilò 'l padrù... »	adesso vorrà ben arrivare il padrone...»
pòtå 'l vé hérà	si fa sera
al vé fósch	viene buio
e ś'vèt nigü	non si vede nessuno
pòtå lé dòpo l'à mangiàt	lei ha mangiato
pò l'è 'ndàdå e durmì	poi è andata a dormire
l'à troàt ü lèt, l'è 'ndàdå e durmì	ha trovato un letto, si è coricata
menemà e meśanót la hét	a mezzanotte sente
che i dervìs la pórtå	lei si è spaventata
e l'à ìst ü bèl śùen	e ha visto un bel giovane
e lé la h'è stremìdå	lei si è spaventata
e lü 'l gh'à dìt esè:	e lui le ha detto così:
— stremìhet mìa — l'à dìt — perchè	ma quello le ha detto: — non spaventarti perché
mé te fó ni-ént	non ti faccio niente
cóme mài hét ché? —	come mai sei qui? —
lé la gh'à cüntàdå hö cóme l'érå stàdå	lei gli ha raccontato com'era successo
e lü 'l gh'à dìt essè: — àrdå che mé	e lui le ha detto: — guarda che io
hó stàt streàt... —	sono stato stregato... —
al gh'éå 'ndòh ün incantéśimo	aveva addosso un incantesimo
che del dé l'èra ü sàt	di giorno era un rospo
e la nòt al di-entà-à amò ü òm	e di notte ritornava ancora uomo
e fìn che 'l ciapà-å ünà che 'l la spuśà-å	e finché non trovava una che lo sposasse
l'à dìt che lü 'l gh'arés sémper üt edòs chèl incantéśem ilò	avrebbe sempre avuto quell'incantesimo
e l'à dìt: — se té te ö stà ché con mé	poi ha aggiunto: — se vuoi stare qui con me
te laghe padrùnå de tüt	ti lascio padrona di tutto
óter che la nòt quàn' che ègne	solo che quando vengo di notte
gh'arés güst de égå ché 'm pó de cumpagnìå —	avrei piacere di trovare un po' di compagnia —
lé	lei
l'érå tüta contétà	era tutta contenta
e lü tüte li nòc ål ghe purtà-å regài	e lui ogni notte le portava dei regali
e lé dòpo la h'éra abitüàdå lé e l'èrå 'gnìdå gràndå	così lei si era abituata a restare lì e si era fatta grande
pòtå 'l rìå	pota arriva
ü dé, l'érå fò 'n dul giardì	un giorno era nel giardino
ål pàhå ü cavagliére	passa un cavaliere
'n d'ü bèl ca-àl biànch	con un bel cavallo bianco
e l'à ist 'estå tùśå, l'éra	vede questa ragazza
ünå bèlå tùśå	era bella
e l'è haltàt gió de ca-àl, al gh'à dìt:	scende dal cavallo e le dice:
— chè fét ché? —	— cosa fai qui? —
e lé la gh'à cüntat sö la stórgiå	lei gli ha raccontato la sua storia
e lé l'à dìt essè: — he te égnet con mé te spuśe —	il cavaliere ha continuato: — se vieni con me ti sposerò
e lé l'à dìt: — fói comè adèh e lagà dedré chèl óm ilò	— come faccio adesso ad abbandonare quell'uomo
che 'l m'à fàt tàt ol bé, pò 'l m'à... —	che mi ha fatto tanto bene?... —
e lü l'à dìt: — pàrlegne	lui ha risposto: — parlagliene
he lü l'è persüàs	se lui si lascia convincere
mé ché tré dé pahe	io fra tre giorni passerò
e 'm và	e ce ne andremo
pòtå la nòt quàn' che l'è 'gnìt	quando è venuto
la prìmå nòt la s'è mìå ulsàdå e diglio	la prima notte non ha osato dirglielo
'l ghe rincrehéå e lagàl dedré	gli rincresceva abbandonarlo
la nòt dòpo la gh'à dìt:	la notte dopo gli ha detto:
— gér å l'è pahàt	— ieri è passato
ü cavagliére, 'l so mìå mé — la dìs —	un cavaliere, non so
se ü prìncipe o chè, l'érå estìt sö bé	se principe o cosa, era ben vestito
e 'l m'à dìt se	e mi ha chiesto se
ölìe spuśàl...	volevo sposarlo...
— e té gh'ét pò dìt chè?	— cosa gli hai detto tu?
— mé ulé-e dumandàt e tè	— volevo chiederlo a te
he püdé-e...	se posso
— té l'espuśaréhet untérå?	— lo sposeresti volentieri?
— cèrto! — l'à dìt —	— certo!
pòtå gna' ché fà 'stå ìtå chilò!	nemmeno fare questa vita!
dol dé hó ché	di giorno sono
de per mé	da sola
e la nòt pòtå... —	e di notte... —
con chèl incantésim ilò	con quell'incantesimo
l'érå ünå stórgiå èco	era davvero una bella storia
e gliùrå	allora
lü 'l gh'à dìc essè: — hé hé — l'à dìt —	lui le ha detto: — sì
he té te	se tu
l'espuśet untérå, te pö 'ndà	lo sposi volentieri puoi andare
però regórdet	però ricordati
de tö hö la rócå e 'l füs	di prendere la rocca e il fuso
perchè he nò 'l te capiterà di laùr	altrimenti ti capiteranno delle cose
e d'li disgras-ce —	delle disgrazie —
e dòpo l'à dìt — te pö tö hö tüt chèl che te gh'é òiå e tò	poi ha aggiunto: — puoi prendere tutto quello che vuoi
'l corrédo, tö hö... —	e farti il corredo —
perchè gh'éra pròpe di bèi laùr	c'erano proprio delle belle cose
lé l'à preparàt i hò baü-i	e lei ha preparato i suoi bauli
e chèl dé che l'è 'gnìt 'esto prìncipe	così il giorno che è venuto il principe
lé la gh'à cargàt sö i laùr	ha caricato la sua roba
ma lé la rócå gna' 'l füs	né la rocca, né il fuso
la h'è mìå regurdàdå de tölå hö	ma non si è ricordata di prendere
pòtå dòpo	pota dopo
'àn che la rìå 'n de 'sto castèl dol principe, 'l ghe 'é 'n mént	quando arriva al castello del principe, si ricorda
che la gh'à piö gna' la rócå, gna' 'l füs	che non ha più né la rocca, né il fuso
e la dìh: « hé hé	e dice:
l' sarà pò cóme la harà »	« sarà come sarà! »
pòtå 'l dé dopo	il giorno dopo
ol prìncipe 'l la öl purtàlå	il principe la vuol portare
en céśå e spuśàs	in chiesa a sposarsi
'àn che la hàltå jó d'la caròhå la gh'éå 'l có de càvrå	quando la ragazza scende dalla carrozza, aveva la testa di capra
pòtå gliùrå	allora
pròpe chi che érå invitati i gh'à dìt: — ét pò fàt chè?	quelli che erano invitati gli hanno chiesto: — cos'hai fatto?
biśògnå portàlå jà	bisogna portarla via
cupàlå perchè l'è üna stréå! —	ammazzarla perché è una strega! —
e de ché e de lé	e così e cosà
e lü 'l prìncipe l'èra restàt màl	il principe è rimasto male
l'à dìt: — che fòśå pò? —	ha detto: — come mai? —
lé 'l gh'è 'gnìt en mént sübit	lei si è subito ricordata
chèla d'la rócå e 'l füs	della rocca e del fuso
gliùrå	allora
al l'à purtada amò el sò castèl, al l'à heràdå hö 'n d'ünà	lui l'ha portata di nuovo nel castello e l'ha rinchiusa
cóme ünà preśù	come in una prigione
perchè 'l diśéå che	perché diceva che
la l'éå 'mbruiàt	l'aveva imbrogliato
e lé gliùrå tüte li nòt	così lei tutte le notti
la l'ciamà-å:	chiamava:
— róspo, bèl róspo	— rospo, bel rospo
pórtem la rócå e 'l füs! —	portami la rocca e il fuso
pòtå üna nòt l'è 'gnìt ol róspo	una notte il rospo è venuto
e purtài la rócå e 'l füs	a portarle la rocca e il fuso
e 'l gh'à dìt: — biśògna che te convincet amò 'l prìncipe de purtàt en céśå e spuśàt	e le ha detto: — devi convincere ancora il principe a portarti in chiesa per sposarti
che dòpo t'ediré che te 'gniré amò nurmàlå —	vedrai che così tornerai ancora normale —
e lé la dìh: — éh cume fói — l'à dìt — adès?	lei ha risposto: — come faccio adesso?
— ma té insiste	— insisti
e diglio che	e digli che
ål fàe 'stå próå, dòpo t'ediré	faccia questa prova, poi vedrai
e difati	infatti
ol prìncipe ål se l'è lagàdå dì	il principe si è lasciato convincere
e 'l l'à purtàdå 'n céśå ma	e l'ha portata in chiesa
tüc g'érå pò lé curgiùs de ède	tutti erano curiosi di vedere
he 'l vuléå pròpe spuśàlå, menemà	se volesse proprio sposarla, d'un tratto
'àn che l'è 'gnìdå jó d'la caròhå	quando è scesa dalla carrozza
per entrà 'n céśå, l'érå di-entàdå amò	per entrare in chiesa, era diventata ancora
bèlå	bella
e gliùrå i à fàt tüc ünå fèstå	allora tutti han fatto una festa
i à fàt pastì e pastù	han fatto pastino e pastone
i me n'à dàt gna' ü bucù	non me ne han dato neppure un boccone
i m'à dàt de bé-e 'n d'ü ha-àt	mi han dato da bere in una ciabatta
e i m'à lagàt lé de fàt de fàt	e mi han lasciate a becco asciutto
